/baseline,/kmeans_10,/kmeans_20,/kmeans_30,/kmeans_50,/kmeans_55,/kmeans_60,/kmeans_80,/kmeans_85,/kmeans_90,/kmeans_95
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
0,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600,12697600
