baseline,kmeans_50,kmeans_55,kmeans_60,kmeans_80,kmeans_85,kmeans_90,kmeans_95
0,10,11,10,10,10,11,11,10
0,10,12,12,11,10,12,12,10
0,10,10,10,10,10,10,10,9
0,12,15,14,14,14,14,13,14
0,6,9,7,8,6,8,8,8
0,9,14,9,13,11,12,10,11
0,7,7,7,7,7,7,8,7
0,8,9,8,8,9,9,7,8
0,7,9,9,8,8,9,8,6
0,11,15,11,13,13,13,11,9
0,9,13,9,11,8,11,8,10
0,8,12,9,9,9,9,7,8
0,10,10,10,9,10,10,9,8
0,4,6,6,6,6,7,3,5
0,8,10,10,9,9,10,9,8
0,10,10,11,11,11,11,11,10
0,8,9,10,10,9,10,9,10
0,5,7,7,6,7,7,6,5
0,7,8,9,9,9,9,6,9
0,6,10,9,9,10,10,7,9
0,7,11,11,12,11,11,7,9
0,6,8,8,8,8,8,6,7
0,3,6,6,6,6,7,6,6
0,10,11,11,11,11,11,9,10
0,6,7,7,7,6,7,6,7
0,11,14,13,14,13,15,12,14
0,8,9,9,9,9,9,9,9
0,5,5,5,5,5,6,4,3
0,7,7,7,7,7,8,7,6
0,7,12,11,11,11,11,11,9
0,11,11,11,11,10,11,10,10
0,13,15,15,15,15,15,11,15
0,9,9,9,9,9,9,7,9
0,7,7,7,6,7,7,5,6
0,9,11,10,11,11,12,11,10
0,11,11,11,11,11,10,10,10
0,11,11,11,11,11,11,11,11
0,13,13,13,13,13,13,13,13
0,11,10,9,11,10,12,9,10
0,5,6,5,6,7,8,5,6
0,9,8,8,9,8,9,8,9
0,8,8,8,8,8,8,8,8
0,11,11,11,11,11,11,8,10
0,10,10,9,10,9,9,9,10
0,13,12,13,13,13,13,10,13
0,20,21,20,20,20,21,20,20
0,8,8,8,8,8,8,8,8
0,10,11,11,11,10,11,11,10
0,6,8,7,7,7,7,8,7
0,8,8,7,8,8,8,8,8
