baseline,kmeans_80,kmeans_90
0.0000000000,0.7803990000,0.7803990000,0.7803990000
0.0000000000,1.4514700000,0.7184530000,1.4514700000
0.0000000000,1.9493500000,1.5020800000,1.9493500000
0.0000000000,1.3431700000,0.6116230000,1.3431700000
0.0000000000,1.0834100000,0.8147440000,1.0834100000
0.0000000000,0.9848860000,0.5468210000,0.9848860000
0.0000000000,0.9503450000,0.5102830000,0.9503450000
0.0000000000,0.9416280000,0.3963650000,0.9416280000
0.0000000000,0.9318630000,0.3711110000,0.9318630000
0.0000000000,0.8182560000,0.3921890000,0.8182560000
0.0000000000,0.8318410000,0.3463900000,0.8318410000
0.0000000000,0.7817320000,0.3258470000,0.7817320000
0.0000000000,0.8370230000,0.3108700000,0.8370230000
0.0000000000,0.7584920000,0.3149720000,0.7584920000
0.0000000000,0.8175120000,0.2913090000,0.8175120000
0.0000000000,0.8204490000,0.3131900000,0.8204490000
0.0000000000,0.8183870000,0.3216910000,0.8183870000
0.0000000000,0.7442370000,0.3334580000,0.7442370000
0.0000000000,0.7657020000,0.2859050000,0.7657020000
0.0000000000,0.7476360000,0.2899320000,0.7476360000
0.0000000000,0.7416890000,0.2692860000,0.7416890000
0.0000000000,0.7826820000,0.3696340000,0.7826820000
0.0000000000,0.7197480000,0.3099250000,0.7197480000
0.0000000000,0.7227130000,0.2630020000,0.7227130000
0.0000000000,0.7221910000,0.2837390000,0.7221910000
0.0000000000,0.7371030000,0.2644000000,0.7371030000
0.0000000000,0.7161730000,0.2616770000,0.7161730000
0.0000000000,0.8370520000,0.2973290000,0.8370520000
0.0000000000,0.7577200000,0.2550770000,0.7577200000
0.0000000000,0.7547880000,0.2724340000,0.7547880000
0.0000000000,0.7605390000,0.2532150000,0.7605390000
0.0000000000,0.7090990000,0.2556860000,0.7090990000
0.0000000000,0.7103490000,0.2464280000,0.7103490000
0.0000000000,0.7304230000,0.2486570000,0.7304230000
0.0000000000,0.6989650000,0.2582390000,0.6989650000
0.0000000000,0.6989440000,0.2418640000,0.6989440000
0.0000000000,0.6956720000,0.2438660000,0.6956720000
0.0000000000,0.7045320000,0.2367150000,0.7045320000
0.0000000000,0.7031400000,0.2409360000,0.7031400000
0.0000000000,0.6978300000,0.2602890000,0.6978300000
0.0000000000,0.7053010000,0.2848630000,0.7053010000
0.0000000000,0.7988300000,0.2349730000,0.7988300000
0.0000000000,0.6934680000,0.2369540000,0.6934680000
0.0000000000,0.7372360000,0.2537760000,0.7372360000
0.0000000000,0.6944920000,0.2324550000,0.6944920000
0.0000000000,0.6885830000,0.2293140000,0.6885830000
0.0000000000,0.7877700000,0.2281820000,0.7877700000
0.0000000000,0.6989970000,0.2347810000,0.6989970000
0.0000000000,0.6885040000,0.2286650000,0.6885040000
0.0000000000,0.7071660000,0.2493650000,0.7071660000
0.0000000000,0.7699060000,0.2373640000,0.7699060000
